"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Name","0.0","Name-{michelin_5148+tripadvisor_56367}","michelin_5148+tripadvisor_56367","{la maruca - velázquez|la barra de velazquez}","la barra de velazquez",,
"City","1.0","City-{michelin_1519+tripadvisor_70193+tripadvisor_74001+tripadvisor_79136}","michelin_1519+tripadvisor_70193+tripadvisor_74001+tripadvisor_79136","{paris|paris|paris|paris}","paris",,
"City","1.0","City-{michelin_1979+tripadvisor_94919}","michelin_1979+tripadvisor_94919","{vienna|vienna}","vienna",,
"Name","0.0","Name-{michelin_5712+tripadvisor_87956}","michelin_5712+tripadvisor_87956","{al ristoro degli angeli|il ristoro degli angeli}","al ristoro degli angeli",,
"City","1.0","City-{michelin_1977+tripadvisor_94107+tripadvisor_95223}","michelin_1977+tripadvisor_94107+tripadvisor_95223","{vienna|vienna|vienna}","vienna",,
"City","1.0","City-{michelin_17+tripadvisor_70301}","michelin_17+tripadvisor_70301","{paris|paris}","paris",,
"City","1.0","City-{michelin_1060+tripadvisor_69986}","michelin_1060+tripadvisor_69986","{paris|paris}","paris",,
"Name","0.0","Name-{michelin_4187+tripadvisor_70328}","michelin_4187+tripadvisor_70328","{les canailles pigalle|les pinces pigalle}","les canailles pigalle",,
"City","1.0","City-{michelin_1081+tripadvisor_69941+tripadvisor_70039+tripadvisor_70196+tripadvisor_70375+tripadvisor_70529+tripadvisor_70719+tripadvisor_70858+tripadvisor_70938+tripadvisor_71246+tripadvisor_71402+tripadvisor_71413+tripadvisor_71576+tripadvisor_71749+tripadvisor_71845+tripadvisor_72465+tripadvisor_72541+tripadvisor_72925+tripadvisor_73172+tripadvisor_73484+tripadvisor_74084+tripadvisor_74149+tripadvisor_74298+tripadvisor_74508+tripadvisor_75251+tripadvisor_75543+tripadvisor_75921+tripadvisor_76323+tripadvisor_76479+tripadvisor_76983+tripadvisor_77186+tripadvisor_77563+tripadvisor_77608+tripadvisor_77789+tripadvisor_77936+tripadvisor_78341+tripadvisor_79050+tripadvisor_79465+tripadvisor_79574+tripadvisor_79687+tripadvisor_80023+tripadvisor_80557+tripadvisor_80867+tripadvisor_81134+tripadvisor_81417+tripadvisor_81799+tripadvisor_81973}","michelin_1081+tripadvisor_69941+tripadvisor_70039+tripadvisor_70196+tripadvisor_70375+tripadvisor_70529+tripadvisor_70719+tripadvisor_70858+tripadvisor_70938+tripadvisor_71246+tripadvisor_71402+tripadvisor_71413+tripadvisor_71576+tripadvisor_71749+tripadvisor_71845+tripadvisor_72465+tripadvisor_72541+tripadvisor_72925+tripadvisor_73172+tripadvisor_73484+tripadvisor_74084+tripadvisor_74149+tripadvisor_74298+tripadvisor_74508+tripadvisor_75251+tripadvisor_75543+tripadvisor_75921+tripadvisor_76323+tripadvisor_76479+tripadvisor_76983+tripadvisor_77186+tripadvisor_77563+tripadvisor_77608+tripadvisor_77789+tripadvisor_77936+tripadvisor_78341+tripadvisor_79050+tripadvisor_79465+tripadvisor_79574+tripadvisor_79687+tripadvisor_80023+tripadvisor_80557+tripadvisor_80867+tripadvisor_81134+tripadvisor_81417+tripadvisor_81799+tripadvisor_81973","{paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris|paris}","paris",,
"City","1.0","City-{michelin_284+tripadvisor_50381}","michelin_284+tripadvisor_50381","{lyon|lyon}","lyon",,
"Name","1.0","Name-{michelin_922+tripadvisor_17720}","michelin_922+tripadvisor_17720","{le pigeon noir|le pigeon noir}","le pigeon noir",,
"City","1.0","City-{michelin_1474+tripadvisor_70093+tripadvisor_70786+tripadvisor_71830}","michelin_1474+tripadvisor_70093+tripadvisor_70786+tripadvisor_71830","{paris|paris|paris|paris}","paris",,
"Name","1.0","Name-{michelin_3662+tripadvisor_17588}","michelin_3662+tripadvisor_17588","{french kiss|french kiss}","french kiss",,
"Name","1.0","Name-{michelin_4024+tripadvisor_50531}","michelin_4024+tripadvisor_50531","{le tiroir|le tiroir}","le tiroir",,
"Name","1.0","Name-{michelin_1475+tripadvisor_71555}","michelin_1475+tripadvisor_71555","{quinsou|quinsou}","quinsou",,
"Name","0.0","Name-{michelin_828+tripadvisor_1279+tripadvisor_1610+tripadvisor_1780+tripadvisor_1860+tripadvisor_192+tripadvisor_204+tripadvisor_2788+tripadvisor_341+tripadvisor_5+tripadvisor_96}","michelin_828+tripadvisor_1279+tripadvisor_1610+tripadvisor_1780+tripadvisor_1860+tripadvisor_192+tripadvisor_204+tripadvisor_2788+tripadvisor_341+tripadvisor_5+tripadvisor_96","{le restaurant|albina restaurant|circl restaurant|golan restaurant|resturant|sham restaurant|serre restaurant|vive restaurant|bak restaurant|ciel bleu restaurant|looks restaurant}","ciel bleu restaurant",,
"Name","1.0","Name-{michelin_5728+tripadvisor_2939}","michelin_5728+tripadvisor_2939","{nolan|nolan}","nolan",,
"Name","1.0","Name-{michelin_1748+tripadvisor_66542}","michelin_1748+tripadvisor_66542","{sparkling bistro|sparkling bistro}","sparkling bistro",,
"Name","0.0","Name-{michelin_153+tripadvisor_91920}","michelin_153+tripadvisor_91920","{aloë|aloe}","aloë",,
"City","1.0","City-{michelin_2813+tripadvisor_82457}","michelin_2813+tripadvisor_82457","{prague|prague}","prague",,
"City","1.0","City-{michelin_5141+tripadvisor_53458+tripadvisor_57566+tripadvisor_58316}","michelin_5141+tripadvisor_53458+tripadvisor_57566+tripadvisor_58316","{madrid|madrid|madrid|madrid}","madrid",,
"Name","0.0","Name-{michelin_5711+tripadvisor_88988}","michelin_5711+tripadvisor_88988","{green t.|green tea}","green tea",,
"Name","1.0","Name-{michelin_5708+tripadvisor_90114}","michelin_5708+tripadvisor_90114","{domenico dal 1968|domenico dal 1968}","domenico dal 1968",,
"City","1.0","City-{michelin_1128+tripadvisor_71366}","michelin_1128+tripadvisor_71366","{paris|paris}","paris",,
"City","1.0","City-{michelin_3860+tripadvisor_70490+tripadvisor_71358+tripadvisor_73358+tripadvisor_76386+tripadvisor_76569+tripadvisor_76913+tripadvisor_79056+tripadvisor_80705}","michelin_3860+tripadvisor_70490+tripadvisor_71358+tripadvisor_73358+tripadvisor_76386+tripadvisor_76569+tripadvisor_76913+tripadvisor_79056+tripadvisor_80705","{paris|paris|paris|paris|paris|paris|paris|paris|paris}","paris",,
"City","1.0","City-{michelin_1419+tripadvisor_77591+tripadvisor_80375+tripadvisor_80751}","michelin_1419+tripadvisor_77591+tripadvisor_80375+tripadvisor_80751","{paris|paris|paris|paris}","paris",,
"City","1.0","City-{michelin_41+tripadvisor_70911}","michelin_41+tripadvisor_70911","{paris|paris}","paris",,
"City","1.0","City-{michelin_1054+tripadvisor_69954+tripadvisor_73149+tripadvisor_74143+tripadvisor_75583}","michelin_1054+tripadvisor_69954+tripadvisor_73149+tripadvisor_74143+tripadvisor_75583","{paris|paris|paris|paris|paris}","paris",,
"City","1.0","City-{michelin_1498+tripadvisor_79658}","michelin_1498+tripadvisor_79658","{paris|paris}","paris",,
"Name","1.0","Name-{michelin_710+tripadvisor_91975}","michelin_710+tripadvisor_91975","{agrikultur|agrikultur}","agrikultur",,
"City","1.0","City-{michelin_1101+tripadvisor_70255+tripadvisor_70378}","michelin_1101+tripadvisor_70255+tripadvisor_70378","{paris|paris|paris}","paris",,
"Name","1.0","Name-{michelin_673+tripadvisor_22530}","michelin_673+tripadvisor_22530","{formel b|formel b}","formel b",,
"Name","1.0","Name-{michelin_517+tripadvisor_2948}","michelin_517+tripadvisor_2948","{spondi|spondi}","spondi",,
"Name","1.0","Name-{michelin_2276+tripadvisor_53747}","michelin_2276+tripadvisor_53747","{gofio|gofio}","gofio",,
"Name","0.2","Name-{michelin_20+michelin_220+tripadvisor_69931+tripadvisor_71342+tripadvisor_71376+tripadvisor_72694+tripadvisor_73454+tripadvisor_77908+tripadvisor_78874+tripadvisor_81242}","michelin_20+michelin_220+tripadvisor_69931+tripadvisor_71342+tripadvisor_71376+tripadvisor_72694+tripadvisor_73454+tripadvisor_77908+tripadvisor_78874+tripadvisor_81242","{le cinq|la scène|le cinq|le coin|le china|la chine|le 1 cinq|la piscine|la piscine|le 5/cinq}","la piscine",,
"City","1.0","City-{michelin_2272+tripadvisor_53038+tripadvisor_55132+tripadvisor_56639}","michelin_2272+tripadvisor_53038+tripadvisor_55132+tripadvisor_56639","{madrid|madrid|madrid|madrid}","madrid",,
"City","1.0","City-{michelin_2268+tripadvisor_53269}","michelin_2268+tripadvisor_53269","{madrid|madrid}","madrid",,
"Name","1.0","Name-{michelin_1074+tripadvisor_70111}","michelin_1074+tripadvisor_70111","{auberge nicolas flamel|auberge nicolas flamel}","auberge nicolas flamel",,
"Name","0.5","Name-{michelin_1425+tripadvisor_70273+tripadvisor_70584+tripadvisor_78960}","michelin_1425+tripadvisor_70273+tripadvisor_70584+tripadvisor_78960","{l'archeste|l'artiste|l'archeste|l'archelle}","l'archelle",,
"Name","1.0","Name-{michelin_5146+tripadvisor_53597}","michelin_5146+tripadvisor_53597","{tepic|tepic}","tepic",,
"City","1.0","City-{michelin_1476+tripadvisor_70124}","michelin_1476+tripadvisor_70124","{paris|paris}","paris",,
"Name","0.6666666666666666","Name-{michelin_5687+tripadvisor_60834+tripadvisor_65408}","michelin_5687+tripadvisor_60834+tripadvisor_65408","{serendib|serendib|serendepico}","serendepico",,
"City","1.0","City-{michelin_63+tripadvisor_94353}","michelin_63+tripadvisor_94353","{vienna|vienna}","vienna",,
"City","1.0","City-{michelin_2115+tripadvisor_68655}","michelin_2115+tripadvisor_68655","{porto|porto}","porto",,
"Name","1.0","Name-{michelin_509+tripadvisor_60738}","michelin_509+tripadvisor_60738","{il luogo di aimo e nadia|il luogo di aimo e nadia}","il luogo di aimo e nadia",,
"Name","0.0","Name-{michelin_1407+tripadvisor_71518+tripadvisor_71600}","michelin_1407+tripadvisor_71518+tripadvisor_71600","{il carpaccio|il capriccio|le carpaccio}","le carpaccio",,
"City","1.0","City-{michelin_3828+tripadvisor_73602}","michelin_3828+tripadvisor_73602","{paris|paris}","paris",,
"City","1.0","City-{michelin_1059+tripadvisor_70293}","michelin_1059+tripadvisor_70293","{paris|paris}","paris",,
"City","1.0","City-{michelin_5703+tripadvisor_86934}","michelin_5703+tripadvisor_86934","{rome|rome}","rome",,
"City","1.0","City-{michelin_4675+tripadvisor_94097}","michelin_4675+tripadvisor_94097","{vienna|vienna}","vienna",,
"City","1.0","City-{michelin_3832+tripadvisor_70014}","michelin_3832+tripadvisor_70014","{paris|paris}","paris",,
"Name","1.0","Name-{michelin_1612+tripadvisor_68305}","michelin_1612+tripadvisor_68305","{mural|mural}","mural",,
"Name","1.0","Name-{michelin_2773+tripadvisor_86933}","michelin_2773+tripadvisor_86933","{pipero roma|pipero roma}","pipero roma",,
"City","1.0","City-{michelin_3451+tripadvisor_2145+tripadvisor_2156+tripadvisor_316+tripadvisor_498}","michelin_3451+tripadvisor_2145+tripadvisor_2156+tripadvisor_316+tripadvisor_498","{amsterdam|amsterdam|amsterdam|amsterdam|amsterdam}","amsterdam",,
"City","1.0","City-{michelin_4026+tripadvisor_50789}","michelin_4026+tripadvisor_50789","{lyon|lyon}","lyon",,
"City","1.0","City-{michelin_2779+tripadvisor_86898}","michelin_2779+tripadvisor_86898","{rome|rome}","rome",,
"Name","1.0","Name-{michelin_229+tripadvisor_70318}","michelin_229+tripadvisor_70318","{maison rostang|maison rostang}","maison rostang",,
"City","1.0","City-{michelin_1088+tripadvisor_72035+tripadvisor_72335+tripadvisor_75181+tripadvisor_75378+tripadvisor_80333+tripadvisor_80401}","michelin_1088+tripadvisor_72035+tripadvisor_72335+tripadvisor_75181+tripadvisor_75378+tripadvisor_80333+tripadvisor_80401","{paris|paris|paris|paris|paris|paris|paris}","paris",,
"City","1.0","City-{michelin_754+tripadvisor_251}","michelin_754+tripadvisor_251","{amsterdam|amsterdam}","amsterdam",,
"Name","1.0","Name-{michelin_1021+tripadvisor_50515}","michelin_1021+tripadvisor_50515","{miraflores|miraflores}","miraflores",,
"City","1.0","City-{michelin_3839+tripadvisor_70337}","michelin_3839+tripadvisor_70337","{paris|paris}","paris",,
"Name","1.0","Name-{michelin_396+tripadvisor_32220}","michelin_396+tripadvisor_32220","{belcanto|belcanto}","belcanto",,
"City","1.0","City-{michelin_150+tripadvisor_91854}","michelin_150+tripadvisor_91854","{stockholm|stockholm}","stockholm",,
"City","1.0","City-{michelin_4253+tripadvisor_66152}","michelin_4253+tripadvisor_66152","{munich|munich}","munich",,
"City","1.0","City-{michelin_3837+tripadvisor_69977}","michelin_3837+tripadvisor_69977","{paris|paris}","paris",,
"Name","1.0","Name-{michelin_4149+tripadvisor_70386}","michelin_4149+tripadvisor_70386","{mensae|mensae}","mensae",,
"Name","0.0","Name-{michelin_3364+tripadvisor_24066}","michelin_3364+tripadvisor_24066","{barabba|barabbas}","barabbas",,
"City","1.0","City-{michelin_414+tripadvisor_52768}","michelin_414+tripadvisor_52768","{madrid|madrid}","madrid",,
"Name","0.0","Name-{michelin_1052+tripadvisor_71260}","michelin_1052+tripadvisor_71260","{frédéric simonin|frederic simonin}","frederic simonin",,
"City","1.0","City-{michelin_182+tripadvisor_2742}","michelin_182+tripadvisor_2742","{amsterdam|amsterdam}","amsterdam",,
"Name","1.0","Name-{michelin_3840+tripadvisor_70433+tripadvisor_75168+tripadvisor_79135}","michelin_3840+tripadvisor_70433+tripadvisor_75168+tripadvisor_79135","{zen|zen|zen|zen}","zen",,
"City","1.0","City-{michelin_4154+tripadvisor_72480}","michelin_4154+tripadvisor_72480","{paris|paris}","paris",,
"City","1.0","City-{michelin_1496+tripadvisor_70191+tripadvisor_71221+tripadvisor_80860}","michelin_1496+tripadvisor_70191+tripadvisor_71221+tripadvisor_80860","{paris|paris|paris|paris}","paris",,
"Name","0.5","Name-{michelin_1490+tripadvisor_73073+tripadvisor_74640+tripadvisor_80951}","michelin_1490+tripadvisor_73073+tripadvisor_74640+tripadvisor_80951","{granite|grazie|graine|graine}","granite",,
"Name","1.0","Name-{michelin_1442+tripadvisor_70474}","michelin_1442+tripadvisor_70474","{qui plume la lune|qui plume la lune}","qui plume la lune",,
"Name","1.0","Name-{michelin_3654+tripadvisor_17483}","michelin_3654+tripadvisor_17483","{osteria bolognese|osteria bolognese}","osteria bolognese",,
"City","1.0","City-{michelin_1772+tripadvisor_66432}","michelin_1772+tripadvisor_66432","{munich|munich}","munich",,
"Name","0.0","Name-{michelin_1036+tripadvisor_71958}","michelin_1036+tripadvisor_71958","{akrame|okame}","akrame",,
"City","1.0","City-{michelin_111+tripadvisor_86791+tripadvisor_87901}","michelin_111+tripadvisor_86791+tripadvisor_87901","{rome|rome|rome}","rome",,
"City","1.0","City-{michelin_4171+tripadvisor_69994+tripadvisor_78152+tripadvisor_82195}","michelin_4171+tripadvisor_69994+tripadvisor_78152+tripadvisor_82195","{paris|paris|paris|paris}","paris",,
"Name","0.0","Name-{michelin_2124+tripadvisor_33729}","michelin_2124+tripadvisor_33729","{feitoria|leitaria}","feitoria",,
"City","1.0","City-{michelin_3836+tripadvisor_70036+tripadvisor_70791+tripadvisor_71242+tripadvisor_71524+tripadvisor_73060+tripadvisor_78449}","michelin_3836+tripadvisor_70036+tripadvisor_70791+tripadvisor_71242+tripadvisor_71524+tripadvisor_73060+tripadvisor_78449","{paris|paris|paris|paris|paris|paris|paris}","paris",,
"Name","0.6666666666666666","Name-{michelin_1232+tripadvisor_50397+tripadvisor_51525}","michelin_1232+tripadvisor_50397+tripadvisor_51525","{les terrasses de lyon|les terrasses de lyon|les terrasses du valdo}","les terrasses du valdo",,
"Name","0.6","Name-{michelin_1055+tripadvisor_70169+tripadvisor_71141+tripadvisor_71527+tripadvisor_81792}","michelin_1055+tripadvisor_70169+tripadvisor_71141+tripadvisor_71527+tripadvisor_81792","{l'orangerie|l'orangerie|la mangerie|l'orangerie|l'orange cafe}","l'orange cafe",,
"City","1.0","City-{michelin_2738+tripadvisor_60983}","michelin_2738+tripadvisor_60983","{milan|milan}","milan",,
"Name","1.0","Name-{michelin_3357+tripadvisor_30067}","michelin_3357+tripadvisor_30067","{gaijin|gaijin}","gaijin",,
"City","1.0","City-{michelin_514+tripadvisor_88211}","michelin_514+tripadvisor_88211","{rome|rome}","rome",,
"Name","1.0","Name-{michelin_2808+tripadvisor_2991}","michelin_2808+tripadvisor_2991","{ctc|ctc}","ctc",,
"Name","0.2222222222222222","Name-{michelin_5143+michelin_5144+tripadvisor_52858+tripadvisor_52995+tripadvisor_53742+tripadvisor_54268+tripadvisor_54324+tripadvisor_56264+tripadvisor_58694}","michelin_5143+michelin_5144+tripadvisor_52858+tripadvisor_52995+tripadvisor_53742+tripadvisor_54268+tripadvisor_54324+tripadvisor_56264+tripadvisor_58694","{taberna recreo|taberna úbeda|taberna laredo|taberna & media|taberna ubeda|taberna pedraza|taberna griega|taberna museo|taberna griega}","taberna & media",,
"City","1.0","City-{michelin_3885+tripadvisor_72786}","michelin_3885+tripadvisor_72786","{paris|paris}","paris",,
"City","1.0","City-{michelin_1055+tripadvisor_70169+tripadvisor_71141+tripadvisor_71527+tripadvisor_81792}","michelin_1055+tripadvisor_70169+tripadvisor_71141+tripadvisor_71527+tripadvisor_81792","{paris|paris|paris|paris|paris}","paris",,
"City","1.0","City-{michelin_713+tripadvisor_91869+tripadvisor_92443}","michelin_713+tripadvisor_91869+tripadvisor_92443","{stockholm|stockholm|stockholm}","stockholm",,
"Name","0.6666666666666666","Name-{michelin_1469+tripadvisor_70230+tripadvisor_81749}","michelin_1469+tripadvisor_70230+tripadvisor_81749","{septime|septime|sepide}","septime",,
"Name","0.0","Name-{michelin_3890+tripadvisor_70450+tripadvisor_77419}","michelin_3890+tripadvisor_70450+tripadvisor_77419","{richer|le richer|richart}","le richer",,
"City","1.0","City-{michelin_4211+tripadvisor_73048}","michelin_4211+tripadvisor_73048","{paris|paris}","paris",,
"Name","0.0","Name-{michelin_18+tripadvisor_69929}","michelin_18+tripadvisor_69929","{épicure|epicure}","épicure",,
"Name","1.0","Name-{michelin_1320+tripadvisor_50453}","michelin_1320+tripadvisor_50453","{prairial|prairial}","prairial",,
"City","1.0","City-{michelin_1409+tripadvisor_70082}","michelin_1409+tripadvisor_70082","{paris|paris}","paris",,
"Name","0.6666666666666666","Name-{michelin_3830+tripadvisor_70472+tripadvisor_72448}","michelin_3830+tripadvisor_70472+tripadvisor_72448","{l'antre amis|l'antre amis|quatre amis}","l'antre amis",,
"City","1.0","City-{michelin_4230+tripadvisor_70908}","michelin_4230+tripadvisor_70908","{paris|paris}","paris",,
"City","1.0","City-{michelin_3267+tripadvisor_70412}","michelin_3267+tripadvisor_70412","{paris|paris}","paris",,
"City","1.0","City-{michelin_417+tripadvisor_52749}","michelin_417+tripadvisor_52749","{madrid|madrid}","madrid",,
"City","1.0","City-{michelin_223+tripadvisor_70423}","michelin_223+tripadvisor_70423","{paris|paris}","paris",,
"City","1.0","City-{michelin_2735+tripadvisor_60777}","michelin_2735+tripadvisor_60777","{milan|milan}","milan",,
"City","1.0","City-{michelin_4123+tripadvisor_50446+tripadvisor_52131}","michelin_4123+tripadvisor_50446+tripadvisor_52131","{lyon|lyon|lyon}","lyon",,
"Name","1.0","Name-{michelin_690+tripadvisor_30258}","michelin_690+tripadvisor_30258","{ora|ora}","ora",,
"City","1.0","City-{michelin_4214+tripadvisor_76203}","michelin_4214+tripadvisor_76203","{paris|paris}","paris",,
"Name","1.0","Name-{michelin_3374+tripadvisor_22479}","michelin_3374+tripadvisor_22479","{marv & ben|marv & ben}","marv & ben",,
"City","1.0","City-{michelin_6+tripadvisor_22475}","michelin_6+tripadvisor_22475","{copenhagen|copenhagen}","copenhagen",,
"Name","0.0","Name-{michelin_2266+tripadvisor_55392+tripadvisor_59403+tripadvisor_60079}","michelin_2266+tripadvisor_55392+tripadvisor_59403+tripadvisor_60079","{la tasquería|la malquerida|la pesquera|la tuerta}","la malquerida",,
"Name","1.0","Name-{michelin_2775+tripadvisor_88359+tripadvisor_88820+tripadvisor_89822}","michelin_2775+tripadvisor_88359+tripadvisor_88820+tripadvisor_89822","{la terrazza|la terrazza|la terrazza|la terrazza}","la terrazza",,
"City","1.0","City-{michelin_3827+tripadvisor_71675}","michelin_3827+tripadvisor_71675","{paris|paris}","paris",,
"Name","1.0","Name-{michelin_3831+tripadvisor_70001+tripadvisor_77349}","michelin_3831+tripadvisor_70001+tripadvisor_77349","{au bon accueil|au bon accueil|au bon accueil}","au bon accueil",,
"City","1.0","City-{michelin_4670+tripadvisor_94257}","michelin_4670+tripadvisor_94257","{vienna|vienna}","vienna",,
"Name","1.0","Name-{michelin_1071+tripadvisor_70694}","michelin_1071+tripadvisor_70694","{helen|helen}","helen",,
"City","1.0","City-{michelin_5730+tripadvisor_82425}","michelin_5730+tripadvisor_82425","{prague|prague}","prague",,
"City","1.0","City-{michelin_3471+tripadvisor_357}","michelin_3471+tripadvisor_357","{amsterdam|amsterdam}","amsterdam",,
"City","1.0","City-{michelin_1563+tripadvisor_66396}","michelin_1563+tripadvisor_66396","{munich|munich}","munich",,
"City","1.0","City-{michelin_1041+tripadvisor_72413}","michelin_1041+tripadvisor_72413","{paris|paris}","paris",,
"Name","0.0","Name-{michelin_703+tripadvisor_91833}","michelin_703+tripadvisor_91833","{operakällaren|operakallaren}","operakallaren",,
"City","1.0","City-{michelin_242+tripadvisor_50371}","michelin_242+tripadvisor_50371","{lyon|lyon}","lyon",,
"Name","0.0","Name-{michelin_360+tripadvisor_94111+tripadvisor_97112}","michelin_360+tripadvisor_94111+tripadvisor_97112","{silvio nickol gourmet restaurant|silvio nickol gourmet restaurant palais coburg|glet'scha gourmetrestaurant}","silvio nickol gourmet restaurant palais coburg",,
"Name","1.0","Name-{michelin_4230+tripadvisor_70908}","michelin_4230+tripadvisor_70908","{le radis beurre|le radis beurre}","le radis beurre",,
"Name","0.6","Name-{michelin_1054+tripadvisor_69954+tripadvisor_73149+tripadvisor_74143+tripadvisor_75583}","michelin_1054+tripadvisor_69954+tripadvisor_73149+tripadvisor_74143+tripadvisor_75583","{le george|le george|le georges|le george|chez georges}","chez georges",,
"City","1.0","City-{michelin_1412+tripadvisor_70200+tripadvisor_81038}","michelin_1412+tripadvisor_70200+tripadvisor_81038","{paris|paris|paris}","paris",,
"Name","1.0","Name-{michelin_3267+tripadvisor_70412}","michelin_3267+tripadvisor_70412","{pages|pages}","pages",,
"Name","1.0","Name-{michelin_4944+tripadvisor_32601}","michelin_4944+tripadvisor_32601","{solar dos nunes|solar dos nunes}","solar dos nunes",,
"City","1.0","City-{michelin_4169+tripadvisor_71083+tripadvisor_81788}","michelin_4169+tripadvisor_71083+tripadvisor_81788","{paris|paris|paris}","paris",,
"Name","0.0","Name-{michelin_3845+tripadvisor_73130}","michelin_3845+tripadvisor_73130","{les résistants|les resistants}","les resistants",,
"City","1.0","City-{michelin_5705+tripadvisor_87169+tripadvisor_87200}","michelin_5705+tripadvisor_87169+tripadvisor_87200","{rome|rome|rome}","rome",,
